2023-06-14 16:44:16.005 | ERROR | Thread-6   | A.ElasticBulkCreator:69    | [[124, 121, -21, -98, -108, 3, -15, 10, -48, 71, -34, -20, -59, -81, 75, -118]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.015 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.180 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.206 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.232 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.255 | ERROR | -thread-13 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.279 | ERROR | -thread-15 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.304 | ERROR | -thread-16 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.506 | ERROR | -thread-17 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.528 | ERROR | 2-thread-3 | .ISaDA.NewsProcessor:40    | Unexpected character (П) at position 686.
2023-06-14 16:44:16.553 | ERROR | 2-thread-4 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.576 | ERROR | Thread-7   | A.ElasticBulkCreator:66    | Ошибка во время индексации статей!
2023-06-14 16:44:16.576 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[-91, -122, -77, -61, -113, 90, -55, 82, 14, -116, -72, -1, 105, 35, -121, -26]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.576 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[4, 11, 59, -75, -110, 65, 44, 99, -2, -113, 37, 31, 125, -99, -122, -47]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.577 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[69, -41, -105, 33, 39, -63, -19, 68, -5, 17, -19, 62, -60, -14, -75, -50]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.577 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[43, 108, -22, -103, 97, -128, -5, -64, -101, -31, 1, -27, -57, -96, -56, -59]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.577 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[30, 73, 35, 66, -8, -76, 117, -110, -70, 7, -10, 33, -2, 120, -27, 73]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.577 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[-61, -87, -46, 21, 27, 84, 58, 50, -90, 104, 57, -32, -1, 79, -35, -53]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.577 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[-73, 52, 77, 41, 55, -12, 15, 61, 78, -81, 54, -25, -16, -36, -75, 64]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.577 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[92, -123, -106, -14, -124, -76, 48, 60, 45, -85, -32, 28, 110, 121, -113, -39]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.578 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[16, -58, -33, 53, 75, 119, 68, -118, -27, 28, -34, 85, -62, -70, 83, -49]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.578 | ERROR | 2-thread-6 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.578 | ERROR | Thread-7   | A.ElasticBulkCreator:69    | [[-110, 58, -104, -79, -73, 34, 51, 94, -49, -29, 99, 88, -108, 77, 90, -117]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:16.605 | ERROR | 2-thread-7 | .ISaDA.NewsProcessor:40    | Unexpected character (Л) at position 715.
2023-06-14 16:44:16.629 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.821 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:16.845 | ERROR | -thread-10 | .ISaDA.NewsProcessor:40    | Unexpected character (Н) at position 760.
2023-06-14 16:44:16.868 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.036 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.058 | ERROR | -thread-15 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.080 | ERROR | -thread-16 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.104 | ERROR | -thread-17 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.130 | ERROR | -thread-18 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.153 | ERROR | 2-thread-3 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.165 | ERROR | Thread-8   | A.ElasticBulkCreator:66    | Ошибка во время индексации статей!
2023-06-14 16:44:17.165 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[-50, 115, -92, 113, 38, -97, -110, -7, 98, 80, 38, 64, -62, -123, -72, 31]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[121, -106, 45, -43, -60, -43, 14, 71, -2, -75, 16, 7, 114, -39, -122, 122]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[-70, 61, 15, -108, 72, -4, -61, -8, 112, 90, 60, 87, 90, 61, -5, -125]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[-75, -89, -79, 23, -15, 48, -63, -109, -8, 124, 67, -24, 81, -30, 59, -50]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[-1, 107, 97, 122, -21, -60, 4, -108, 108, -56, 61, -110, 75, 37, 64, -63]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[113, -67, -8, -120, 85, -103, -39, 77, 55, 22, -111, 31, -23, -9, -116, -17]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[96, 115, -82, -105, -30, -41, 83, -45, -32, 49, 72, 29, -19, -112, 106, -67]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[46, -120, -76, 81, 72, -60, 85, -60, -112, 102, 116, -61, 45, -94, -126, 23]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[-25, 119, -107, -36, -10, -63, -77, 107, -41, -124, -127, -105, -26, 104, 32, -57]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.166 | ERROR | Thread-8   | A.ElasticBulkCreator:69    | [[-67, -64, -3, -112, 67, 108, 12, -1, 2, 25, -30, -31, 93, -66, 111, 91]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.175 | ERROR | 2-thread-4 | .ISaDA.NewsProcessor:40    | Unexpected character (С) at position 1203.
2023-06-14 16:44:17.199 | ERROR | 2-thread-6 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.223 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:40    | Unexpected character (п) at position 699.
2023-06-14 16:44:17.247 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.273 | ERROR | -thread-10 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
